t_(c) t_(k) p_(kpa) satliq_v evap_v satvap_v satliq_u evap_u satvap_u satliq_h evap_h satvap_h satliq_s evap_s satvap_s
316 589.15 10703.0 1.478 15.09 16.57 1422.3 1115.2 2537.5 1438.1 1276.8 2714.9 3.4101 2.1672 5.5772
318 591.15 10993.4 1.488 14.53 16.02 1433.9 1099.4 2533.3 1450.3 1259.1 2709.4 3.4300 2.1300 5.5599
320 593.15 11289.1 1.500 13.98 15.48 1445.7 1083.2 2528.9 1462.6 1241.1 2703.7 3.4500 2.0923 5.5423
322 595.15 11591.0 1.511 13.44 14.96 1457.5 1066.7 2524.3 1475.1 1222.6 2697.6 3.4702 2.0542 5.5244
324 597.15 11899.2 1.523 12.92 14.45 1469.5 1049.9 2519.4 1487.7 1203.6 2691.3 3.4906 2.0156 5.5062
326 599.15 12213.7 1.535 12.41 13.95 1481.7 1032.6 2514.3 1500.4 1184.2 2684.6 3.5111 1.9764 5.4876
328 601.15 12534.8 1.548 11.91 13.46 1494.0 1014.8 2508.8 1513.4 1164.2 2677.6 3.5319 1.9367 5.4685
330 603.15 12862.5 1.561 11.43 12.99 1506.4 996.7 2503.1 1526.5 1143.6 2670.2 3.5528 1.8962 5.4490
332 605.15 13197.0 1.575 10.95 12.53 1519.1 978.0 2497.0 1539.9 1122.5 2662.3 3.5740 1.8550 5.4290
334 607.15 13538.3 1.590 10.49 12.08 1531.9 958.7 2490.6 1553.4 1100.7 2654.1 3.5955 1.8129 5.4084
336 609.15 13886.7 1.606 10.03 11.63 1544.9 938.9 2483.7 1567.2 1078.1 2645.3 3.6172 1.7700 5.3872
338 611.15 14242.3 1.622 9.58 11.20 1558.1 918.4 2476.4 1581.2 1054.8 2636.0 3.6392 1.7261 5.3653
340 613.15 14605.2 1.639 9.14 10.78 1571.5 897.2 2468.7 1595.5 1030.7 2626.2 3.6616 1.6811 5.3427
342 615.15 14975.5 1.657 8.71 10.37 1585.2 875.2 2460.5 1610.0 1005.7 2615.7 3.6844 1.6350 5.3194
344 617.15 15353.5 1.676 8.286 9.962 1599.2 852.5 2451.7 1624.9 979.7 2604.7 3.7075 1.5877 5.2952
346 619.15 15739.3 1.696 7.870 9.566 1613.5 828.9 2442.4 1640.2 952.8 2593.0 3.7311 1.5391 5.2702
348 621.15 16133.1 1.718 7.461 9.178 1628.1 804.5 2432.6 1655.8 924.8 2580.7 3.7553 1.4891 5.244
350 623.15 16535.1 1.741 7.058 8.799 1643.0 779.2 2422.2 1671.8 895.9 2567.7 3.7801 1.4375 5.2177
352 625.15 16945.5 1.766 6.654 8.420 1659.4 751.5 2410.8 1689.3 864.2 2553.5 3.8071 1.3822 5.1893
354 627.15 17364.4 1.794 6.252 8.045 1676.3 722.4 2398.7 1707.5 830.9 2538.4 3.8349 1.3247 5.1596
356 629.15 17792.2 1.824 5.850 7.674 1693.4 692.2 2385.6 1725.9 796.2 2522.1 3.8629 1.2654 5.1283
358 631.15 18229.0 1.858 5.448 7.306 1710.8 660.5 2371.4 1744.7 759.9 2504.6 3.8915 1.2037 5.0953
360 633.15 18675.1 1.896 5.044 6.940 1728.8 627.1 2355.8 1764.2 721.3 2485.4 3.9210 1.1390 5.0600
361 634.15 18901.7 1.917 4.840 6.757 1738.0 609.5 2347.5 1774.2 701.0 2475.2 3.9362 1.1052 5.0414
362 635.15 19130.7 1.939 4.634 6.573 1747.5 591.2 2338.7 1784.6 679.8 2464.4 3.9518 1.0702 5.0220
363 636.15 19362.1 1.963 4.425 6.388 1757.3 572.1 2329.3 1795.3 657.8 2453.0 3.9679 1.0338 5.0017
364 637.15 19596.1 1.988 4.213 6.201 1767.4 552.0 2319.4 1806.4 634.6 2440.9 3.9846 0.9958 4.9804
365 638.15 19832.6 2.016 3.996 6.012 1778.0 530.8 2308.8 1818.0 610.0 2428.0 4.0021 0.9558 4.9579
366 639.15 20071.6 2.046 3.772 5.819 1789.1 508.2 2297.3 1830.2 583.9 2414.1 4.0205 0.9134 4.9339
367 640.15 20313.2 2.080 3.540 5.621 1801.0 483.8 2284.8 1843.2 555.7 2399.0 4.0401 0.8680 4.9081
368 641.15 20557.5 2.118 3.298 5.416 1813.8 457.3 2271.1 1857.3 525.1 2382.4 4.0613 0.8189 4.8801
369 642.15 20804.4 2.162 3.039 5.201 1827.8 427.9 2255.7 1872.8 491.1 2363.9 4.0846 0.7647 4.8492
370 643.15 21054.0 2.214 2.759 4.973 1843.6 394.5 2238.1 1890.2 452.6 2342.8 4.1108 0.7036 4.8144
371 644.15 21306.4 2.278 2.446 4.723 1862.0 355.3 2217.3 1910.5 407.4 2317.9 4.1414 0.6324 4.7738
372 645.15 21561.6 2.364 2.075 4.439 1884.6 306.6 2191.2 1935.6 351.4 2287.0 4.1794 0.5446 4.7240
373 646.15 21819.7 2.496 1.588 4.084 1916.0 238.9 2154.9 1970.5 273.5 2244.0 4.2325 0.4233 4.6559
374 647.15 22080.5 2.843 0.623 3.466 1983.9 95.7 2079.7 2046.7 109.5 2156.2 4.3493 0.1692 4.5185
374.15 647.30 22120.0 3.170 0.000 3.170 2037.3 0.0 2037.3 2107.4 0.0 2107.4 4.4429 0.0000 4.4429
