# Category, Subcategory, ROI, Name, lat, lon_e, size_km, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), Special Requirements
# 1, 0, #FECCCC, Potential Cryovolcanic Regions, ---, ---, ---, ---, ---, ---, ---, Geologically young surface features of possible cryovolcanic origin, Understand the formation of surface features and search for past and present activity (GB/GD/GE), Best spatial resolution and SNR possible required to identify source of activity
6, 3, 10, Elam/Nippur Sulcus, 48.6, 171.9, 560, 43, 55, 165, 177, Extensively resurface region of Elam and Nippur Sulcus, Investigation of different deformation styles,
6, 3, 11, Lapton, 58.7, 188.8, 43, 55, 62, 184, 191, Contact network of bands - dark terrain, Investigation of different deformation styles,
6, 3, 12, Sippar Sulcus, -16.5, 184, 65, -17, -16, 183.5, 185, Contact to flow feature observed by galileo with 145mpix G7 3066r.vic, Investigation of different deformation styles,
6, 3, 13, Nefertum, 44.5, 38.4, 130, 43, 46, 37.5, 40.5, Distorted crater within bright terrain NW of Ta-Urt, Investigation of different deformation styles,
# 7, 0, #CB9822, Ancient Dark Terrain, ---, ---, ---, ---, ---, ---, ---, Ancient terrain; erosional surface features in the ancient dark terrain. Degraded impact craters, Determine global composition; distribution and evolution of surface materials (GB/GC/GD/GE),
7, 0, 1, None, -27.3, 221.9, 50, -30, -23, 215, 224, Mass wasting in dark terrain - degraded dome in dark terrain but also cut by smooth band, Degraded dome in dark terrain but also cut by smooth band, Mass wasting processes only visible at highest spatial resolution
7, 0, 2, Perrine Regio, nan, nan, nan, 25, 29, 345, 349, Darkest region in Perrine Regio - degraded dome crater in bright terrain and partly superimposed by two small impact craters, Degraded dome crater in bright terrain and partly superimposed by two small impact craters, Mass wasting processes only visible at highest spatial resolution
7, 0, 3, Perrine Regio, nan, nan, nan, 41, 45, 346, 350, Darkest region in Perrine Regio ? degraded palimpsest in dark terrain and cut by Harpagia Sulcus, Degraded palimpsest in dark terrain and cut by Harpagia Sulcus, Mass wasting processes only visible at highest spatial resolution
7, 0, 4, Marius Regio, nan, nan, nan, -7.4, -4.8, 186, 189.4, Small degraded impact crater in Marius Regio, Small degraded impact crater in Marius Regio, Mass wasting processes only visible at highest spatial resolution
7, 0, 5, Nicholson Regio, nan, nan, nan, -17.5, -14.5, 26, 30, Degraded impact crater of unknown morphology in dark terrain of Nicholson Regio but also cut by bright terrain, Degraded impact crater of unknown morphology in dark terrain but also cut by bright terrain, Mass wasting processes only visible at highest spatial resolution
7, 0, 6, Melotte Regio, nan, nan, nan, -3.7, -0.2, 108, 112, Dark terrain of Melotte Regio, Numerous unnamed impact craters of various degree of degradation in extensively resurface bright terrain, Mass wasting processes only visible at highest spatial resolution
7, 0, 7, Marius Regio, nan, nan, nan, 40, 43, 161, 164, Degraded dome in dark terrain but also cut by smooth band, Degraded dome in dark terrain but also cut by smooth band, Mass wasting processes only visible at highest spatial resolution
7, 0, 8, Galileo Regio, nan, nan, nan, 36, 39, 193.5, 196.5, Dark terrain of Galileo Regio, Degraded dome crater in bright terrain and partly superimposed by two small impact craters, Mass wasting processes only visible at highest spatial resolution
7, 0, 9, Nicholson Regio, -11, 34, nan, -14, -9, 29, 37, Dark terrain in Nicholson region, Degraded palimpsest in dark terrain and cut by Harpagia Sulcus, Mass wasting processes only visible at highest spatial resolution
